time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.17,-30.0144786549708,0.593563777777778,0,0,0,-0.0682452315789474,1.97950406432749,0,0,0,0,0.0899051467836257,0.00589883,-0.0474641001074113,1.98053,0.155045086788399,-1.74849836734704
0.18,-30.0021281312127,0.592771128230616,0,0,0,-0.0676589699801193,1.97955679920477,0,0,0,0,0.0998894346421471,0.00542245,0,1.98209,0,-100.050583638584
0.19,-29.9748706333973,0.591075005758157,0,0,0,-0.0661960809980806,1.97979032629559,0,0,0,0,0.112498431861804,0.00475153,-0.0781945227817745,1.98429,0.256282568999346,-0.983117505995324
0.2,-29.9622476949913,0.590307829055569,0,0,0,-0.0654711827311238,1.97995996012958,0,0,0,0,0.115889552703713,0.0041354,0,1.98631,0,-128.952073555166
0.21,-29.9358894132653,0.588727707695578,0,0,0,-0.0640934745535714,1.98043941113946,0,0,0,0,0.0639143885416668,0.00339119,-0.0850645442673753,1.98876,0.280035604028332,3.38368260292222
0.22,-29.9229635114504,0.587935384732824,0,0,0,-0.0637911528244275,1.9807225648855,0,0,0,0,0.0254011010091603,0.00290778,0,1.99035,0,-110.390861991515
0.23,-29.8956954216354,0.586210240630324,0,0,0,-0.063792227725724,1.98135076448041,0,0,0,0,-0.0207722987838587,0.00285859,-0.00567266782825138,1.99052,0.0187252701099356,0.142504731383502
0.24,-29.8835732628399,0.58542652265861,0,0,0,-0.0639496491691843,1.9816208836858,0,0,0,0,-0.0327001629909365,0.00292943298130369,0.00745438019201614,1.99028221323901,-0.024601121778676,2.82880535624055
0.25,-29.8567035241393,0.583662484620086,0,0,0,-0.0645030346099002,1.98215811774292,0,0,0,0,-0.0478899736606234,0.00314733,0,1.98956,0,25.2430700183935
0.26,-29.8441118951613,0.582823998991935,0,0,0,-0.064812177016129,1.9823721875,0,0,0,0,-0.0523246081653226,0.00335828,0,1.98887,0,49.4597556195961
0.27,-29.8198041859667,0.581179401269514,0,0,0,-0.0654937742151312,1.98272192657403,0,0,0,0,-0.0564023071538858,0.0036993,0.0506505460681742,1.98774,-0.166860425244685,-22.6948987850153
0.28,-29.8045695895998,0.580137562069845,0,0,0,-0.0659202648738211,1.98289690797859,0,0,0,0,-0.0590759264593423,0.00396347,0,1.98688,0,114.005051533109
0.29,-29.7773863520408,0.578259475552721,0,0,0,-0.0667352427933673,1.98311741284014,0,0,0,0,-0.0608145698341837,0.00433111,0.0435078123862379,1.98567,-0.143050193340734,-2.87761396226469
0.3,-29.7652550464958,0.577412717169426,0,0,0,-0.0671006878430483,1.98317995690633,0,0,0,0,-0.061525169743706,0.00460974,0,1.98475,0,64.1705926438771
0.31,-29.7380901064496,0.575496736798163,0,0,0,-0.0679411878313505,1.98324314130662,0,0,0,0,-0.0619436310164892,0.00498143,0.0518454899801807,1.98353,-0.170085454305219,-10.5452542611761
0.32,-29.7250855101529,0.574571058912008,0,0,0,-0.0683412925043871,1.98321233642517,0,0,0,0,-0.0622873678114815,0.00526127,0,1.98261,0,62.5261302852773
0.33,-29.6974938638335,0.572582998699046,0,0,0,-0.0691991703165655,1.98289537944493,0,0,0,0,-0.062690601756288,0.00562918,0.0385585641837643,1.98141,-0.126222925958965,7.10558942908141
0.34,-29.6859446153846,0.571743492307692,0,0,0,-0.069560721025641,1.98266988034188,0,0,0,0,-0.0627342285470085,0.00590603339735526,1.57520559629402E-05,1.98050830883932,-5.14815328444868E-05,58.402843855429
0.35,-29.6592152450091,0.569804822141561,0,0,0,-0.0702115667271627,1.98213400685622,0,0,0,0,-0.00726005430530367,0.00593025025373546,0.000758773563648635,1.9804285371092,-0.00247985572362163,40.2917049605744
0.36,-29.6461502796136,0.568887296898831,0,0,0,-0.0701388184036604,1.98192139298424,0,0,0,0,0.033329369903406,0.00595446711011567,0.00150179507133433,1.98034876537907,-0.00490822991439879,22.1805660657197
0.37,-29.6196477864859,0.567089947680576,0,0,0,-0.0693390510908706,1.98157111628892,0,0,0,0,0.079981667062063,0.00597868396649587,0.00224481657902003,1.98026899364894,-0.00733660410517595,4.06942717086495
0.38,-29.6067387615797,0.566239734519747,0,0,0,-0.0687829651145783,1.98142075329108,0,0,0,0,0.0935938019015114,0.00598445,0,1.98025,0,0
0.39,-29.5793031506545,0.564490926336809,0,0,0,-0.0673702948746394,1.98126,0,0,0,0,0.109656382737963,0.00567436,-0.0344299396140747,1.98126,0.112573475595913,-2.65989918274719
0.4,-29.5673923836032,0.563749299848178,0,0,0,-0.0667045314777328,1.98127158906883,0,0,0,0,0.113881637145749,0.00537222,0,1.98225,0,-63.6862032160524
0.41,-29.5398320510183,0.562076552561201,0,0,0,-0.0650827995062744,1.98138222999383,0,0,0,0,0.119306349105122,0.00492548,-0.0555897194652631,1.98372,0.182157529876446,6.9689704273862
0.42,-29.5277067241817,0.561360011418422,0,0,0,-0.0643547715554428,1.98147059883278,0,0,0,0,0.120826805379345,0.00452366,0,1.98503,0,-92.5637872591006
0.43,-29.5031338892595,0.559927578052035,0,0,0,-0.0629976447631755,1.98172467311541,0,0,0,0,0.075803906437625,0.00399544,-0.0794584986974926,1.98677,0.261129409801367,37.3486296808856
0.44,-29.4882860792492,0.559041661626694,0,0,0,-0.06258420818561,1.98192080291971,0,0,0,0,0.027960612680396,0.00368416,-0.00546566793041944,1.98779,0.0179885006690461,-111.879192908117
0.45,-29.4606793805685,0.557337399872719,0,0,0,-0.0625657441663131,1.98229754348748,0,0,0,0,-0.019699781593127,0.00376629,0,1.98752,0,9.2458878480465
0.46,-29.4494965922678,0.55663089198884,0,0,0,-0.0626952256277401,1.98243226982862,0,0,0,0,-0.0315537392387405,0.00393701,0,1.98696,0,37.3490408759122
0.47,-29.4230959308606,0.554928010082823,0,0,0,-0.063238726089305,1.98267790961469,0,0,0,0,-0.0466046514404032,0.00431491,0.0747049290499916,1.98572,-0.245625408692665,-53.0543064250133
0.48,-29.4091599845798,0.554019231303007,0,0,0,-0.0635698098689283,1.98276609097918,0,0,0,0,-0.0521199203546646,0.00471314003619441,0.0114959565667007,1.98441372285419,-0.0377003477249209,112.190164426061
0.49,-29.3832695751138,0.552303889984825,0,0,0,-0.064287427693475,1.98283,0,0,0,0,-0.0568363391881639,0.00516725,0,1.98292,0,55.9407941127695
0.5,-29.3694604805099,0.551379210345673,0,0,0,-0.0646770243196862,1.98275626869331,0,0,0,0,-0.0590308658739887,0.00560116,0,1.9815,0,124.804807109123
0.51,-29.342132593532,0.549526311773409,0,0,0,-0.0654961322764743,1.98220868315367,0,0,0,0,-0.0608331520397379,0.00615983,0.0701948546898475,1.97968,-0.229468334191886,-6.61022086284601
0.52,-29.329630931677,0.548667629813665,0,0,0,-0.0658761264596273,1.98179894409938,0,0,0,0,-0.0614492426086956,0.00663796,0,1.97812,0,105.26120689655
0.53,-29.3056197353914,0.547014400220507,0,0,0,-0.066477537045204,1.98077147188534,0,0,0,0,-0.0162872062293268,0.00723538,0.084190355184742,1.97617,-0.274246814660304,-25.5603111442165
0.54,-29.2904034979424,0.545998962962963,0,0,0,-0.066434183744856,1.9800187037037,0,0,0,0,0.0335592434156382,0.00756653,0,1.97509,0,79.0772766486483
0.55,-29.2640855597088,0.54431514105843,0,0,0,-0.0656348835333465,1.97886856580759,0,0,0,0,0.0798326577218179,0.00731642119258973,-0.0399750822462372,1.97590722500965,0.130026810111927,18.2473024700885
0.56,-29.2530474988527,0.543628439651216,0,0,0,-0.0651839712712253,1.97851842129417,0,0,0,0,0.0928159908214778,0.00719203,0,1.97631,0,-4.56514443247885
0.57,-29.2240513379992,0.541886581926719,0,0,0,-0.0636788821325649,1.97812730135858,0,0,0,0,0.109351164882668,0.00670266,0,1.9779,0,-65.1720175970888
0.58,-29.21117198608,0.541134230673627,0,0,0,-0.0629601741983594,1.9781314193388,0,0,0,0,0.113937248819289,0.0061909607739525,-0.0103068097144382,1.97957613824393,0.0336906282359219,-107.13598425407
