time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.19,-29.974870633397313,0.5910750057581574,0.0,0.0,0.0,-0.06619608099808062,1.9797903262955854,0.0,0.0,0.0,0.0,0.11249843186180425
0.2,-29.962247694991277,0.5903078290555693,0.0,0.0,0.0,-0.06547118273112384,1.9799599601295788,0.0,0.0,0.0,0.0,0.11588955270371293
0.21,-29.935889413265304,0.5887277076955781,0.0,0.0,0.0,-0.06409347455357144,1.9804394111394559,0.0,0.0,0.0,0.0,0.0639143885416668
0.22,-29.92296351145038,0.5879353847328244,0.0,0.0,0.0,-0.06379115282442749,1.9807225648854963,0.0,0.0,0.0,0.0,0.0254011010091603
0.23,-29.895695421635438,0.5862102406303237,0.0,0.0,0.0,-0.06379222772572403,1.981350764480409,0.0,0.0,0.0,0.0,-0.020772298783858726
0.24,-29.88357326283988,0.5854265226586103,0.0,0.0,0.0,-0.06394964916918429,1.9816208836858005,0.0,0.0,0.0,0.0,-0.032700162990936525
0.25,-29.856703524139338,0.5836624846200855,0.0,0.0,0.0,-0.06450303460990019,1.982158117742921,0.0,0.0,0.0,0.0,-0.04788997366062335
0.26,-29.84411189516129,0.5828239989919355,0.0,0.0,0.0,-0.06481217701612904,1.9823721875,0.0,0.0,0.0,0.0,-0.05232460816532258
0.27,-29.81980418596672,0.5811794012695145,0.0,0.0,0.0,-0.06549377421513125,1.9827219265740263,0.0,0.0,0.0,0.0,-0.05640230715388575
0.28,-29.804569589599797,0.5801375620698446,0.0,0.0,0.0,-0.06592026487382106,1.9828969079785879,0.0,0.0,0.0,0.0,-0.059075926459342315
0.29,-29.777386352040818,0.5782594755527211,0.0,0.0,0.0,-0.06673524279336734,1.983117412840136,0.0,0.0,0.0,0.0,-0.060814569834183645
0.3,-29.765255046495806,0.5774127171694261,0.0,0.0,0.0,-0.0671006878430483,1.983179956906328,0.0,0.0,0.0,0.0,-0.061525169743706046
0.31,-29.738090106449594,0.5754967367981633,0.0,0.0,0.0,-0.06794118783135045,1.9832431413066165,0.0,0.0,0.0,0.0,-0.06194363101648924
0.32,-29.725085510152923,0.5745710589120081,0.0,0.0,0.0,-0.06834129250438707,1.9832123364251693,0.0,0.0,0.0,0.0,-0.062287367811481545
0.33,-29.69749386383348,0.5725829986990459,0.0,0.0,0.0,-0.06919917031656549,1.9828953794449262,0.0,0.0,0.0,0.0,-0.06269060175628798
0.34,-29.685944615384617,0.5717434923076923,0.0,0.0,0.0,-0.06956072102564102,1.9826698803418803,0.0,0.0,0.0,0.0,-0.06273422854700854
0.35,-29.659215245009076,0.5698048221415608,0.0,0.0,0.0,-0.07021156672716274,1.982134006856221,0.0,0.0,0.0,0.0,-0.007260054305303673
0.36,-29.646150279613625,0.5688872968988307,0.0,0.0,0.0,-0.0701388184036604,1.98192139298424,0.0,0.0,0.0,0.0,0.033329369903406035
0.37,-29.619647786485913,0.5670899476805762,0.0,0.0,0.0,-0.06933905109087057,1.9815711162889218,0.0,0.0,0.0,0.0,0.07998166706206303
0.38,-29.606738761579717,0.5662397345197465,0.0,0.0,0.0,-0.06878296511457825,1.9814207532910775,0.0,0.0,0.0,0.0,0.09359380190151144
