time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.72,0.00500276,0.0,1.98346,0.0,99.25592644715827
0.73,0.00550691,0.06031061648079362,1.98181,-0.1975676602643554,-6.773747934738523
0.74,0.00588727,0.0,1.98057,0.0,89.43697821608095
0.75,0.00638974,0.06859003481370023,1.97893,-0.2240277615732047,-20.980375592774635
0.76,0.0065612,0.0,1.97837,0.0,47.88310119648991
0.77,0.00620018,-0.040920769482975294,1.97954,0.13355176040352842,-1.7906053593958688
0.78,0.00572665,0.0,1.98109,0.0,-98.9339243614928
0.79,0.00500361,-0.0837892984409799,1.98346,0.27437035634743856,-3.079244988864218
0.8,0.00432605,0.0,1.98568,0.0,-140.58040511615695
0.81,0.0034929,-0.10453513617524975,1.98842,0.3439577317939547,20.89624215511867
0.82,0.00295058,0.0,1.99021,0.0,-134.11459593098468
0.83,0.00289956,-0.005966664354322447,1.99038,0.01969682774813281,0.3803698911421538
0.84,0.00294992,0.0,1.99022,0.0,11.55546069699913
0.85,0.00323471,0.03316911537598165,1.98928,-0.10943541863075065,-0.7902332210992924
0.86,0.0035309058351409967,0.012899352494576776,1.9883037093275489,-0.04247580260303612,43.241929284165195
0.87,0.00386899,0.0,1.98719,0.0,37.52234787096806
0.88,0.00417257,0.018742477529096427,1.98619,-0.061645546105642185,24.611031978512884
0.89,0.004761645531914893,0.10140005288753808,1.984255319148936,-0.33296664437689993,-47.82705653495461
0.9,0.00491597,0.0,1.98375,0.0,0.0
0.91,0.00534432,0.05766087858316484,1.98234,-0.18896979076136203,-17.476193134926277
0.92,0.00566713,0.0,1.98129,0.0,87.0195084485386
0.93,0.00609238,0.047209425350913346,1.9799,-0.15432250233942624,2.2076403658035133
0.94,0.006321712732760622,-0.0007631240840491714,1.979150469003947,0.0024916578360806327,49.9996233967963
0.95,0.00629674,0.0,1.97923,0.0,-2.7368968884634737
0.96,0.00589809,0.0,1.98053,0.0,-91.36698102916932
0.97,0.00513866146704621,-0.12332203678563566,1.9830170002189622,0.4037961401357551,54.45303993869151
0.98,0.0048153,0.0,1.98408,0.0,0.0
0.99,0.00423467,-0.07472756580050334,1.98598,0.24538622967309442,8.999610226320868
1.0,0.00353411,-0.009479395449622674,1.98829,0.03119294041170717,-132.5233726977216
1.01,0.00307911,-0.06908543370535514,1.98979,0.2277559486607077,28.156773437497122
1.02,0.003035476185567011,0.0008152280412373409,1.9899301030927836,-0.002691249484536833,-14.956784123711175
1.03,0.0030707,0.0,1.98982,0.0,4.956687479935877
1.04,0.00330241,0.031479676923077085,1.98905,-0.10382941025641076,-5.693308717949037
1.05,0.00349995,0.0,1.9884,0.0,44.8924085470077
1.06,0.00381919,0.0,1.98735,0.0,77.87874417475813
1.07,0.00406639,0.043604161579651614,1.98654,-0.14345194779116358,-27.29969571619773
1.08,0.00441014,0.07807756423173652,1.98541,-0.2566342921914308,-57.679358690173835
1.09,0.00467053,0.030924015859030055,1.98455,-0.10153617621145117,-0.686700881056062
1.1,0.00501755,0.0,1.98341,0.0,74.81674605262981
1.11,0.00553334,0.08775560634328038,1.98172,-0.2874556697761089,-45.4114610074576
1.12,0.006406765390070927,0.02290040189125418,1.9788732624113474,-0.07466601891253354,207.47161702127374
1.13,0.00701572,0.0,1.97688,0.0,74.1920861423262
1.14,0.00782628,0.005950507042252973,1.97425,-0.019353718309857326,183.08904225352214
1.15,0.00840421,0.07455632971800955,1.97237,-0.2419367678958954,-5.519902386125608
1.16,0.00857166,0.0,1.97183,0.0,34.681358115184814
1.17,0.00863285,0.007229255147059017,1.97163,-0.023424022794118274,-0.6264658823532248
1.18,0.00846775,0.0,1.97217,0.0,-37.28020794392634
1.19,0.00830986,-0.018227250000001024,1.97268,0.05909050000000331,-1.2985999999983981
1.2,0.00798783,-0.0057945281938332205,1.97372,0.018799383259913927,-51.57839052863338
1.21,0.00771438,-0.03655592144373795,1.97461,0.11872639065817805,6.542580679407408
1.22,0.00729657,0.0,1.97597,0.0,-94.79927680798319
1.23,0.00694367,-0.05013492941176557,1.97712,0.1632262132352969,18.811514705883525
1.24,0.00645117,-0.014237565217395165,1.97872,0.04641704347827347,-115.83958260868764
1.25,0.00603136,-0.06932667377398732,1.9801,0.22634808102345455,29.372826012793368
1.26,0.005460430839160839,-0.002618298368298138,1.9819668298368298,0.008577482517481763,-139.17642191142238
1.27,0.00498951,0.0,1.98351,0.0,-63.73459591836669
1.28,0.00436545,-0.053395354838706485,1.98555,0.17523987096773147,-88.73241935484585
1.29,0.0038227,-0.07140024291497857,1.98734,0.2347792105263119,17.046665587042796
1.3,0.0031125647698744775,-0.004773724267782287,1.989675690376569,0.01575709832635937,-169.71711213389162
1.31,0.0027318,0.0,1.99094,0.0,-43.02114143166727
1.32,0.00283126,0.0,1.99061,0.0,21.68136043165447
1.33,0.0030456,0.03305461010928793,1.9899,-0.10910680054644253,-15.957645355188827
1.34,0.00352409,0.08287033333333302,1.98832,-0.27322689873417616,-60.20061181434542
1.35,0.00397266,0.14690258571427872,1.98684,-0.48363227142854837,-174.44029999998412
1.36,0.00460557,0.07018791376450498,1.98477,-0.2306468988391186,3.277442786079746
1.37,0.00515635,0.12373439447731407,1.98296,-0.4058134516765172,-98.06698224851431
1.38,0.0058658,0.0053669318181905346,1.98064,-0.017566250000028538,184.99481818180146
1.39,0.00647258,0.0,1.97865,0.0,85.88036006546946
1.4,0.0072311,0.0,1.97618,0.0,326.73812121213217
1.41,0.00764993,0.049783046808512796,1.97482,-0.16191421276596443,-4.6640680851095055
1.42,0.00748003,0.0,1.97537,0.0,-40.58429052631723
1.43,0.00702486,-0.06549415116279192,1.97685,0.21312343255814353,16.13279883721124
1.44,0.0061223041624365706,-0.02082816243654241,1.9797975634517766,0.0680988426395749,-171.33929441625477
1.45,0.00543552,0.0,1.98204,0.0,-93.09875298126238
1.46,0.00449012,0.0,1.98514,0.0,-335.20980056980204
1.47,0.0032618658514492653,-0.18547463405797085,1.9891891666666668,0.6106386576086952,82.84951079709987
1.48,0.00267575,0.0,1.99112,0.0,0.0
1.49,0.00204196,-0.0846542076923063,1.99322,0.2799663153846108,23.120799999998
1.5,0.0019728867594936707,0.0012097387341772417,1.993444430379747,-0.0040076410126583155,-20.822735645569594
1.51,0.00201413,0.0,1.99331,0.0,4.800533866396681
1.52,0.0023397320256410203,0.0033456271794858154,1.9922271282051283,-0.011062238461533952,70.2944282051309
1.53,0.00259459,0.0,1.99139,0.0,28.956955188679018
1.54,0.00303142,0.0,1.98995,0.0,102.09130232558024
1.55,0.00337062,0.04896093548386952,1.98883,-0.16148435483870488,-18.956737096772116
1.56,0.00384488,0.0,1.98727,0.0,149.09913417721052
1.57,0.00420503,0.04434907204968932,1.98608,-0.14586915113871593,-3.4596842650101536
1.58,0.00468733,0.0,1.9845,0.0,106.19226695842067
1.59,0.00505115,0.048719991402713,1.9833,-0.1597959728506724,-6.28879683257604
1.6,0.00553123,0.0,1.98173,0.0,103.05516434540255
1.61,0.00589254,0.05237704376012938,1.98055,-0.17130730632090674,-22.974078768233014
1.62,0.0063668,0.010203811764704529,1.979,-0.03332691764705453,143.62507058823832
1.63,0.00652956,0.023342475000001153,1.97847,-0.07616551814516505,-7.10612439516305
1.64,0.00619262,0.0,1.97957,0.0,-83.80482100238856
1.65,0.00575002,-0.06093964285714429,1.98102,0.19914571428571898,17.31877142857357
1.66,0.00507383,0.0,1.98323,0.0,-170.47910024450474
1.67,0.00444034,-0.09131986046511825,1.98531,0.2996251046511693,31.740627906979668
1.68,0.00366162,-0.06274459999999998,1.98787,0.20635800000000004,-60.294200000000046
1.69,0.00315491,-0.10508276987447841,1.98954,0.34632892468619714,71.07080543933353
1.7,0.00310716,0.0,1.9897,0.0,-11.071849771689523
1.71,0.00315405,0.007726418242122707,1.98954,-0.025492274461028152,-4.180680033167478
1.72,0.00341952,0.01415307123287804,1.98867,-0.04666306849315505,47.10459634702934
1.73,0.00364562,0.036912505818181875,1.98792,-0.12159681454545472,-18.28518690909099
1.74,0.004020383636363636,0.002145464693446077,1.9866865750528542,-0.007053274841437593,115.28324460887951
1.75,0.00429274,0.0,1.98579,0.0,35.575342911153506
1.76,0.00468582,0.0,1.9845,0.0,133.0003188073425
1.77,0.00498385,0.04371716955602468,1.98352,-0.14340868921775668,-14.221566173360458
1.78,0.00538159,0.003287328980893206,1.98222,-0.010770856687902952,92.06116369426482
1.79,0.00568118,0.04629476169264899,1.98124,-0.15149846770600897,-14.6125924276147
1.8,0.00607544,0.0,1.97995,0.0,91.05807593582925
1.81,0.006282626053571429,0.02983788560714302,1.9792761428571428,-0.09744039500000054,-12.352895535714485
1.82,0.00626521,0.0,1.97933,0.0,0.0
1.83,0.00589696,-0.050219934826882466,1.98053,0.1640647006109932,10.441141751525194
1.84,0.00548139,-0.019889350993374605,1.98189,0.06506004415010092,-44.76537836645039
1.85,0.004656391016166264,-0.14925633487297768,1.984598106235566,0.48936236951500656,73.578285219393
1.86,0.00436209,0.0,1.98556,0.0,-32.798652173911066
1.87,0.004315268327429145,-0.0011848352732794609,1.9857144787449392,0.0038998534919031914,0.09868770242915885
1.88,0.004031500614878544,-0.008365655111335989,1.9866507135627531,0.02753532920040471,0.6967949898785388
1.89,0.0037477329023279365,-0.015546474949392675,1.9875869483805668,0.051170804908906756,1.294902277327932
1.9,0.003463965189777329,-0.02272729478744936,1.9885231831983805,0.0748062806174088,1.8930095647773253
1.91,0.00324064,-0.014122369339622947,1.98926,0.046483399528302896,-9.89931292452804
1.92,0.00309566,0.0,1.98973,0.0,-30.689918226601414
1.93,0.00309199,-0.0005506269377049376,1.98975,0.0018234580983607206,0.2567661114754366
1.94,0.00303755,0.0,1.98993,0.0,-19.327298559078603
1.95,0.00311138,0.008586092307692403,1.98968,-0.02833822115384647,-0.463582692307833
1.96,0.00311807,4.610981735190048e-06,1.98966,-1.5197694064026518e-05,1.5095778995433262
1.97,0.00325157,0.023293522439585886,1.98922,-0.07681455466052985,-14.794236593786135
1.98,0.00330852,0.011142366666666473,1.98903,-0.036756266666666024,7.786506666667286
1.99,0.00349504,0.03951363720930291,1.98842,-0.13021134883721125,-31.029067441861365
2.0,0.00359813,0.011708715587529478,1.98808,-0.03857250839328373,6.568017745804362
2.01,0.00383511,0.05531791456311059,1.9873,-0.18213177669904157,-47.08501941748291
2.02,0.00398272,0.0,1.98681,0.0,47.17819905882123
2.03,0.00426911,0.042663406307980586,1.98587,-0.14028959554731923,-17.50204044527308
2.04,0.00446056,0.0,1.98524,0.0,58.490815238097085
2.05,0.00479594,0.042487289559167946,1.98414,-0.13946790255221472,-3.3247248259911686
2.06,0.00503093,0.0010727126984129143,1.98337,-0.003517666666667363,48.45872380952345
2.07,0.00541522,0.051298546008403605,1.98211,-0.1680558844537823,-13.361571218487732
2.08,0.00569363,0.0,1.9812,0.0,73.76998245613979
2.09,0.00612674,0.059673857142861886,1.97978,-0.1950446938775665,-19.299306122455718
2.1,0.00633169,0.0,1.97911,0.0,58.80077345971168
2.11,0.00619319,-0.01757268181818314,1.97957,0.057370454545458846,1.4556272727293802
2.12,0.00552595,0.0,1.98175,0.0,-142.30499999999307
2.13,0.00475253,-0.11012340041493943,1.98428,0.3608766618257315,38.72298547718074
2.14,0.0036689,0.0,1.98784,0.0,-318.19059665871265
2.15,0.0026152,-0.17203758561645016,1.99132,0.5674926369863404,89.57595890412688
2.16,0.00132337,-0.18912713543306459,1.9956,0.6263017795275381,76.33373858266407
2.17,0.000375593,-0.25239826422764605,1.99875,0.8389571747967606,249.0001524390319
2.18,0.00024941,0.0,1.99917,0.0,-41.49516249999812
2.19,0.000314973,0.01011967870216349,1.99895,-0.033708820632280964,-4.999908818636175
2.2,0.000702683,0.0,1.99766,0.0,156.68377322402762
